Microsoft (R) COFF/PE Dumper Version 14.33.31630.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file D:\Projects\MouriNaruto\ntdll-crt-analysis\ntdll.dll\10.0.16299.15\arm64\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    FCCC3633 time date stamp
        0.00 version
           8 ordinal base
        2317 number of functions
        2316 number of names

    ordinal hint RVA      name

        400  187 00023560 NtMapUserPhysicalPages
        401  188 000224E0 NtMapUserPhysicalPagesScatter
        402  189 00022730 NtMapViewOfSection
        403  18A 00023570 NtModifyBootEntry
        404  18B 00023580 NtModifyDriverEntry
        405  18C 00023590 NtNotifyChangeDirectoryFile
        406  18D 000235A0 NtNotifyChangeDirectoryFileEx
        407  18E 000235B0 NtNotifyChangeKey
        408  18F 000235C0 NtNotifyChangeMultipleKeys
        409  190 000235D0 NtNotifyChangeSession
        410  191 00022A30 NtOpenDirectoryObject
        411  192 000235E0 NtOpenEnlistment
        412  193 000228B0 NtOpenEvent
        413  194 000235F0 NtOpenEventPair
        414  195 000227E0 NtOpenFile
        415  196 00023600 NtOpenIoCompletion
        416  197 00023610 NtOpenJobObject
        417  198 000225D0 NtOpenKey
        418  199 00023620 NtOpenKeyEx
        419  19A 00023630 NtOpenKeyTransacted
        420  19B 00023640 NtOpenKeyTransactedEx
        421  19C 00023650 NtOpenKeyedEvent
        422  19D 00023660 NtOpenMutant
        423  19E 00023670 NtOpenObjectAuditAlarm
        424  19F 00023680 NtOpenPartition
        425  1A0 00023690 NtOpenPrivateNamespace
        426  1A1 00022710 NtOpenProcess
        427  1A2 000236A0 NtOpenProcessToken
        428  1A3 000227B0 NtOpenProcessTokenEx
        429  1A4 000236B0 NtOpenRegistryTransaction
        430  1A5 000236C0 NtOpenResourceManager
        431  1A6 00022820 NtOpenSection
        432  1A7 000236D0 NtOpenSemaphore
        433  1A8 000236E0 NtOpenSession
        434  1A9 000236F0 NtOpenSymbolicLinkObject
        435  1AA 00023700 NtOpenThread
        436  1AB 000226F0 NtOpenThreadToken
        437  1AC 000227A0 NtOpenThreadTokenEx
        438  1AD 00023710 NtOpenTimer
        439  1AE 00023720 NtOpenTransaction
        440  1AF 00023730 NtOpenTransactionManager
        441  1B0 00023740 NtPlugPlayControl
        442  1B1 00022AA0 NtPowerInformation
        443  1B2 00023750 NtPrePrepareComplete
        444  1B3 00023760 NtPrePrepareEnlistment
        445  1B4 00023770 NtPrepareComplete
        446  1B5 00023780 NtPrepareEnlistment
        447  1B6 00023790 NtPrivilegeCheck
        448  1B7 000237A0 NtPrivilegeObjectAuditAlarm
        449  1B8 000237B0 NtPrivilegedServiceAuditAlarm
        450  1B9 000237C0 NtPropagationComplete
        451  1BA 000237D0 NtPropagationFailed
        452  1BB 000229B0 NtProtectVirtualMemory
        453  1BC 000237E0 NtPulseEvent
        454  1BD 00022880 NtQueryAttributesFile
        455  1BE 000237F0 NtQueryAuxiliaryCounterFrequency
        456  1BF 00023800 NtQueryBootEntryOrder
        457  1C0 00023810 NtQueryBootOptions
        458  1C1 00023820 NtQueryDebugFilterState
        459  1C2 00022600 NtQueryDefaultLocale
        460  1C3 000228F0 NtQueryDefaultUILanguage
        461  1C4 00022800 NtQueryDirectoryFile
        462  1C5 00023830 NtQueryDirectoryFileEx
        463  1C6 00023840 NtQueryDirectoryObject
        464  1C7 00023850 NtQueryDriverEntryOrder
        465  1C8 00023860 NtQueryEaFile
        466  1C9 00022A10 NtQueryEvent
        467  1CA 00023870 NtQueryFullAttributesFile
        468  1CB 00023880 NtQueryInformationAtom
        469  1CC 00023890 NtQueryInformationByName
        470  1CD 000238A0 NtQueryInformationEnlistment
        471  1CE 000225C0 NtQueryInformationFile
        472  1CF 000238B0 NtQueryInformationJobObject
        473  1D0 000238C0 NtQueryInformationPort
        474  1D1 00022640 NtQueryInformationProcess
        475  1D2 000238D0 NtQueryInformationResourceManager
        476  1D3 00022700 NtQueryInformationThread
        477  1D4 000226C0 NtQueryInformationToken
        478  1D5 000238E0 NtQueryInformationTransaction
        479  1D6 000238F0 NtQueryInformationTransactionManager
        480  1D7 00023900 NtQueryInformationWorkerFactory
        481  1D8 00023910 NtQueryInstallUILanguage
        482  1D9 00023920 NtQueryIntervalProfile
        483  1DA 00023930 NtQueryIoCompletion
        484  1DB 00022610 NtQueryKey
        485  1DC 00023940 NtQueryLicenseValue
        486  1DD 00023950 NtQueryMultipleValueKey
        487  1DE 00023960 NtQueryMutant
        488  1DF 000225B0 NtQueryObject
        489  1E0 00023970 NtQueryOpenSubKeys
        490  1E1 00023980 NtQueryOpenSubKeysEx
        491  1E2 000227C0 NtQueryPerformanceCounter
        492  1E3 00023990 NtQueryPortInformationProcess
        493  1E4 000239A0 NtQueryQuotaInformationFile
        494  1E5 000229C0 NtQuerySection
        495  1E6 000239B0 NtQuerySecurityAttributesToken
        496  1E7 000239C0 NtQuerySecurityObject
        497  1E8 000239D0 NtQuerySecurityPolicy
        498  1E9 000239E0 NtQuerySemaphore
        499  1EA 000239F0 NtQuerySymbolicLinkObject
        500  1EB 00023A00 NtQuerySystemEnvironmentValue
        501  1EC 00023A10 NtQuerySystemEnvironmentValueEx
        502  1ED 00022810 NtQuerySystemInformation
        503  1EE 00023A20 NtQuerySystemInformationEx
        504  1EF 00022A50 NtQuerySystemTime
        505  1F0 00022830 NtQueryTimer
        506  1F1 00023A30 NtQueryTimerResolution
        507  1F2 00022620 NtQueryValueKey
        508  1F3 000226E0 NtQueryVirtualMemory
        509  1F4 00022940 NtQueryVolumeInformationFile
        510  1F5 00023A40 NtQueryWnfStateData
        511  1F6 00023A50 NtQueryWnfStateNameInformation
        512  1F7 00022900 NtQueueApcThread
        513  1F8 00023A60 NtQueueApcThreadEx
        514  1F9 00023A70 NtRaiseException
        515  1FA 00023A80 NtRaiseHardError
        516  1FB 00022510 NtReadFile
        517  1FC 00022790 NtReadFileScatter
        518  1FD 00023A90 NtReadOnlyEnlistment
        519  1FE 000229F0 NtReadRequestData
        520  1FF 000228A0 NtReadVirtualMemory
        521  200 00023AA0 NtRecoverEnlistment
        522  201 00023AB0 NtRecoverResourceManager
        523  202 00023AC0 NtRecoverTransactionManager
        524  203 00023AD0 NtRegisterProtocolAddressInformation
        525  204 00023AE0 NtRegisterThreadTerminatePort
        526  205 00023AF0 NtReleaseKeyedEvent
        527  206 000226B0 NtReleaseMutant
        528  207 00022550 NtReleaseSemaphore
        529  208 00023B00 NtReleaseWorkerFactoryWorker
        530  209 00022540 NtRemoveIoCompletion
        531  20A 00023B10 NtRemoveIoCompletionEx
        532  20B 00023B20 NtRemoveProcessDebug
        533  20C 00023B30 NtRenameKey
        534  20D 00023B40 NtRenameTransactionManager
        535  20E 00023B50 NtReplaceKey
        536  20F 00023B60 NtReplacePartitionUnit
        537  210 00022570 NtReplyPort
        538  211 00022560 NtReplyWaitReceivePort
        539  212 00022760 NtReplyWaitReceivePortEx
        540  213 00023B70 NtReplyWaitReplyPort
        541  214 00023B80 NtRequestPort
        542  215 000226D0 NtRequestWaitReplyPort
